SurveyYear,OutputFileName,Section,FinalVariableDescription,ResponseCode,ResponseText,Question,Type,RecodeFlag,VariableName,Instrument Out Variable Name,FinalDocName,FinalItemText,FinalDocUniverse,FinalDocUniverseDescription,DocSources,DocRecodes,DocKeywords,DocNotes,Qbank,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,05,May,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,06,June,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,07,July,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,08,August,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,09,September,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,10,October,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,11,November,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Assignment/Interview Month,12,December,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Family Number,,,IDN.000_35.000,, ,FX,,FMX,Family Number,,All families,None,None,family number,Use this variable in combination with HHX and SRVY_YR to identify individual families.,,,,,,,,
2017,Sample Child,IDN,Family Number,01-25,Family number 1 - 25,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Person Number (Within family),,,IDN.000_40.000,, ,FPX,FPX,FPX,Person Number,,All persons,None,None,person number,"Use this variable in combination with HHX, FMX, and SRVY_YR to identify individual persons.",,,,,,,,
2017,Sample Child,IDN,Person Number (Within family),01-25,Person number 1 thru 25,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,IDN,Weight - Interim Annual,,,IDN.000_65.000,, ,WTIA_SC,,WTIA_SC,,,,None,None,None,"Format of data has an implied decimal (XXXXXX.X).  This weight does not include post-stratification adjustments (age, race/ethnicity, sex) to the civilian, non-institutionalized U.S. population of children (age 0 - 17) using Census population control tota",,,,,,,,
2017,Sample Child,IDN,Weight - Final Annual,,,IDN.000_70.000,, ,WTFA_SC,,WTFA_SC,,,,None,None,None,"This weight should be used for most sample child analyses when using a full year of data.  This weight includes post-stratification adjustments (age, race/ethnicity, sex) using Census Bureau population control totals.  The sum of these weights is equal to",,,,,,,,
2017,Sample Child,UCF,MSA Status,,,UCF.000_00.000,R08,RECODE,,,MSASTAT,,,,None,None,None,Not for public-use release. Data from Unit Control File (CBSAMSASTAT). 2013 metropolitan area definitions.,,,,,,,,
2017,Sample Child,UCF,MSA Status,1,In a Metropolitan Statistical Area (MSA) and in the principal city of the MSA.,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,MSA Status,2,"In a MSA, but not in the principal city.",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,MSA Status,3,"In a MSA,  but cannot determine if in the principal city or not",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,MSA Status,4,Not in a MSA city,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Region,,,UCF.000_00.000,R09,RECODE,,,REGION,,ALL,All records,None,None,united states; region,Data from Unit Control File (CENREG).,,,,,,,,
2017,Sample Child,UCF,Region,1,Northeast,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Region,2,Midwest,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Region,3,South,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Region,4,West,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Stratification PSU Stratum Code,,,UCF.000_00.000,R11,RECODE,,,STRAT_D,,ALL,All records,None,None,None,Not for public-use release.  Not for variance estimation.  Sample design stratification variable.  Data from first four characters of Unit Control File variable SPSUSTRAT.,,,,,,,,
2017,Sample Child,UCF,Stratification PSU Stratum Code,0100-5600,0100-5600,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Stratification PSU (Primary Sampling Unit) Code,,,UCF.000_00.000,R12,RECODE,,,PSU_D,,ALL,All records,None,None,None,Not for public-use release.  Not for variance estimation.  Sample design PSU variable.  Data from Unit Control File variable SPSU.,,,,,,,,
2017,Sample Child,UCF,Stratification PSU (Primary Sampling Unit) Code,01001-56045,01001-56045,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Pseudo-stratum for inhouse variance estimation,,,UCF.000_00.000,R13,RECODE,,,ISTRAT,,ALL,All records,None,None,None,Not for public-use release.  Pseudo-stratum variable for inhouse variance estimation.  Created by NCHS/ORM.,,,,,,,,
2017,Sample Child,UCF,Pseudo-stratum for inhouse variance estimation,100-259,100-259,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Pseudo-PSU for inhouse variance estimation,,,UCF.000_00.000,R14,RECODE,,,IPSU,,ALL,All records,None,None,None,Not for public-use release.  Pseudo-PSU variable for inhouse variance estimation.  Created by NCHS/ORM.,,,,,,,,
2017,Sample Child,UCF,Pseudo-PSU for inhouse variance estimation,001-054,001-054 (with some gaps),,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Pseudo-stratum for public-use file variance estimation,,,UCF.000_00.000,R15,RECODE,,,PSTRAT,,ALL,All records,None,None,None,Pseudo-stratum variable for public use file variance estimation.  Created by NCHS/ORM.,,,,,,,,
2017,Sample Child,UCF,Pseudo-stratum for public-use file variance estimation,100-151,100-151,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,UCF,Pseudo-PSU for public-use file variance estimation,,,UCF.000_00.000,R16,RECODE,,,PPSU,,ALL,All records,None,None,None,Pseudo-PSU variable for public use file variance estimation.  Created by NCHS/ORM.,,,,,,,,
2017,Sample Child,UCF,Pseudo-PSU for public-use file variance estimation,001-164,001-164 (with some gaps),,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Sex,,,HHC.110_00.000,, ,SEX,SEX,SEX,[Are/Is] [you/person] male or female?,HHSTAT NE 'D',All non-deleted persons,None,None,None,None,,,,,,,,
2017,Sample Child,HHC,Sex,1,Male,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Sex,2,Female,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,,,HHC.180_00.000,R03,RECODE,,,HISPAN_I,Please give me the number of the group that represents [your/ person's] Hispanic origin or ancestry.,AGE = All,All persons,ORIGIN_I; HHC.180,None,ethnicity; national origin; ancestry,"""Other-specify"" responses were assigned to specific groups where possible.  Respondents who selected the generic ""Hispanic/Spanish"" response category were assigned ""09"", and in cases where the respondent refused to answer Hispanic origin or didn't know it",,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,00,Multiple Hispanic,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,01,Puerto Rico,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,02,Mexican,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,03,Mexican-American,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,04,Cuban/Cuban American,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,05,Dominican (Republic),,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,06,Central or South American,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,07,"Other Latin American, type not specified",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,08,Other Spanish,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,09,"Hispanic/Latino/Spanish, non-specific type",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,10,"Hispanic/Latino/Spanish, type refused",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,11,"Hispanic/Latino/Spanish, type not ascertained",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Hispanic subgroup detail,12,Not Hispanic/Spanish origin,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,,,HHC.200_01.000,R13,RECODE,,,RACERPI2,Recode of full detail race groups,AGE = All,All persons,RACFULI2,HRACERI2,race; new OMB race standards,"This recode contains detail for the 5 OMB race groups, and a multiple race group.  This recode does not include information provided in HHC.220 for multiple race mentions (the ""primary"" race). ""Other Race"" and ""Unspecified Multiple race"" are no longer ava",,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,01,White only,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,02,Black/African American only,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,03,AIAN only,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,04,Asian only,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,05,Race group not releasable*,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,OMB groups w/multiple race,06,Multiple race,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,,,HHC.200_01.000,R21,RECODE,,,MRACRPI2,Recode,AGE = All,All persons,HHC.200; HHC.220,None,race; old OMB race standards,"This variable identifies the primary or main race reported by the respondent.  Data came from HHC.200 and HHC.220. ""Other Race"" and ""Unspecified Multiple race"" are no longer available as separate race responses.  These response categories are treated as m",,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,01,White,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,02,Black/African American,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,03,"Indian (American), Alaska Native",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,09,Asian Indian,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,10,Chinese,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,11,Filipino,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,15,Other Asian*,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,16,Primary race not releasable**,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,17,"Multiple race, no primary race selected",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,,,HHC.200_01.000,R22,RECODE,,,MRACBPI2,Recode,AGE = All,All persons,HHC.200; HHC.220,None,race; old OMB race standards; bridge variable,"MRACBPI2 creates a bridge between the old (MRACE_P in 1997 and 1998) and the new OMB race standards (MRACER_P in 1999, MRACRP_I in 2000, 2001 and 2002, and MRACRPI2 in 2003 and beyond). Data came from HHC.200 and HHC.220. If only one valid race was given,",,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,01,White,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,02,Black/African American,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,03,"Indian (American) (includes Eskimo, Aleut)",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,06,Chinese,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,07,Filipino,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,12,Asian Indian,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,16,Other race*,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Race coded to single/multiple race group,17,"Multiple race, no primary race selected",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,AGE,,,HHC.420_00.000,, ,AGE,AGE1 - AGE25,AGE,"What is {Person}'s age and date of birth?  Please give month, day, and year for the date of birth.",ALL,All persons,None,R_AGE1; R_AGE2,age,"Not for public-use release.  In most cases, data on age came from HHC.120.  Because age is an important variable for instrument check items and in developing the weights, all respondents must have data on age.  A series of questions in the instrument from",,,,,,,,
2017,Sample Child,HHC,AGE,000,Under 1 year,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,AGE,001-120,Number of years,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,AGE,998,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Age,,,HHC.420_00.000,R01,RECODE,,,AGE_P,Recode,AGE = All,All persons,AGE,None,age,"In most cases, data on age came from HHC.120.  Because age is an important variable for instrument check items and in developing the weights, all respondents must have data on age.  A series of questions in the instrument from HHC.124 through HHC.165 atte",,,,,,,,
2017,Sample Child,HHC,Age,00,Under 1 year,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Age,01-84,1-84 years,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,HHC,Age,85,85+ years,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person # of available SC respondent,,,CID.010_00.000,, ,CSRESPNO,CSPAVAIL,CSRESPNO,"Is [fill1:KNOWSC2 names] available to answer some questions about [fill2: ALIAS of Sample Child]'s health?

*Enter line number of available respondent from list or enter ""96"" if no one is available.",CSTATFLG='1' ,Sample child section completed and someone identified as knowledgeable about child's health,None,None,respondent person number,None,,,,,,,,
2017,Sample Child,CID,Person # of available SC respondent,01-25,Person # of person available to answer questions about Sample Child,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person # of available SC respondent,96,No person available,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person # of available SC respondent,98,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,,,CID.030_00.000,, ,CSRELTIV,CSRELTIV,CSRELTIV,What is {CSRESPNO name}'s relationship to {child name}?,CSTATFLG='1' ,All families with a sample child,None,None,relationship,"Not for public-use release. In a small number of cases, the relationship indicated by CSRELTIV may be inconsistent with those indicated by FMOTHER1 and FFATHER1 on the Person file. In these situations, it is recommended that data users use the relationshi",,,,,,,,
2017,Sample Child,CID,Person's relationship to child,01,"Parent (Biological, adoptive, or step)",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,02,Grandparent,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,03,Aunt/Uncle,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,04,Brother/Sister,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,05,Other relative,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,06,Legal guardian,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,07,Foster parent,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,08,Other non-relative,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,97,Refused,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,98,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,99,Don't know,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,,,CID.030_00.000,01,RECODE,,,CSRELTVP,What is {CSRESPNO name}'s relationship to {child name}?,CSTATFLG='1',All families with a sample child,None,None,relationship,"In a small number of cases, the relationship indicated by CSRELTVP may be inconsistent with those indicated by FMOTHER1 and FFATHER1 on the Person file. In these situations, it is recommended that data users use the relationships indicated by FMOTHER1 and",,,,,,,,
2017,Sample Child,CID,Person's relationship to child,1,"Parent (Biological, adoptive, or step)",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,2,Grandparent,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,3,Aunt/Uncle,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,4,Brother,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,5,Other relative or other non-relative,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,7,Refused,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,8,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Person's relationship to child,9,Don't know,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Date Sample Child Core section was started,,,CID.035_00.000,, ,SCDATE,SCDATE,SCDATE,,,,None,None,None,Not for public-use release.,,,,,,,,
2017,Sample Child,CID,Date Sample Child Core section was started,Date,"Date Sample Child Core section was started in ""mmddyyyy"" format",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Date Sample Child section was completed,,,CID.560_00.000,,,SCEND,SCEND,SCEND,,,CSTAT=1,None,None,None,Not for public-use release.,,,,,,,,
2017,Sample Child,CID,Date Sample Child section was completed,Date,"Date Sample Child Core section was completed in ""mmddyyyy"" format",,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Late Sample Child interviews,,,CID.545_00.000,,,LATEINTC,,LATEINTC,,,Generated variable: Sample Child cases,None,None,None,None,,,,,,,,
2017,Sample Child,CID,Late Sample Child interviews,1,Started Sample Child Core 2+ weeks after the initial interview,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Late Sample Child interviews,2,Started Sample Child Core less than 2 weeks after the initial interview,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported from memory or records,,,CID.053_00.000,,,SCSSNRP4,SCSSNRP4,SCSSNRP4,,"CSTATFLG='1' and SCSSN4 not IN('N','7','9',' ')",Sample children LE 17 years where the last four digits of the SSN were reported,None,None,None,Not for public-use release.,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported from memory or records,1,From memory,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported from memory or records,2,From records,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported from memory or records,8,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported in-person or by telephone,,,CID.054_00.000,,,SCSSNTL4,SCSSNTL4,SCSSNTL4,,"CSTATFLG='1' and SCSSNR4P IN(1,2)",Sample children LE 17 years where it was recorded how the last four digits of the SSN were reported,None,None,None,Not for public-use release.,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported in-person or by telephone,1,In person,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported in-person or by telephone,2,Telephone,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Last four digits of SSN reported in-person or by telephone,8,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Try to link without SSN,,,CID.055_00.000,,,SCRLINK,SCRLINK,SCRLINK,,"CSTATFLG='1' and SCSSN4 IN('N','7','9')","Sample children LE 17 years where the response to SCSSN4 was no SSN, refused, or don't know",None,None,None,Not for public-use release.,,,,,,,,
2017,Sample Child,CID,Try to link without SSN,1,Yes,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Try to link without SSN,2,No,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Try to link without SSN,7,Refused,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Try to link without SSN,8,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,Try to link without SSN,9,Don't know,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,SSN status for the Sample Child,,,CID.056_00.000,,,SCSN_FLG,,SCSN_FLG,,,,None,None,None,Not for public-use release.,,,,,,,,
2017,Sample Child,CID,SSN status for the Sample Child,1,Last 4 digits of SSN reported,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,SSN status for the Sample Child,2,No SSN,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,SSN status for the Sample Child,7,Refused,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,SSN status for the Sample Child,8,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CID,SSN status for the Sample Child,9,Don't know,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,FDB,Disability Questions flag,,,FDB.001_00.000,,,FDRN_FLG,FDRN_FLG,FDRN_FLG,,,,None,None,Disability Questions Test; flag,This variable indicates whether the family was selected to receive the Family Disability (FDB; all persons 1 year and older) section.  Sample adults in families with a value of 2 for FDRN_FLG were also selected to receive the AFD (Adult Functioning and Di,,,,,,,,
2017,Sample Child,FDB,Disability Questions flag,1,Families selected to receive AFD (sample adults) section,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,FDB,Disability Questions flag,2,Families selected to receive FDB (all persons 1 year and older) section,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in pounds,,,CHS.010_01.000,, ,BWGTLB,BWGT_LB,BWGTLB,What was {S.C.name}'s birth weight?,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,BWGTMGR,"TOTOZ, TOTOZ_P",birth weight; pounds,"Not on public use file. BWGTLB was combined with BWGTOZ to create a new inhouse variable, TOTOZ, and a new public use variable, TOTOZ_P, total birth weight in ounces. All children were assigned values for birth weight in both metric and non-metric variabl",,,,,,,,
2017,Sample Child,CHS,Birth weight in pounds,01-15,1-15 pounds,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in pounds,97,Refused,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in pounds,98,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in pounds,99,Don't know,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in pounds,M,Metric,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in ounces,,,CHS.010_02.000,, ,BWGTOZ,BWGT_OZ,BWGTOZ,What was {S.C. name}'s birth weight?,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,BWGTMGR,"TOTOZ, TOTOZ_P",birth weight; ounces (oz),"Not on public use file. BWGTLB was combined with BWGTOZ to create a new inhouse variable, TOTOZ, and a new public use variable, TOTOZ_P, total birth weight in ounces. All children were assigned values for birth weight in both metric and non-metric variabl",,,,,,,,
2017,Sample Child,CHS,Birth weight in ounces,00-15,0-15 ounces,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in ounces,97,Refused,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in ounces,98,Not ascertained,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in ounces,99,Don't know,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Birth weight in ounces,Blank,Blank,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Total birth weight in ounces,,,CHS.010,R01,RECODE,,,TOTOZ,,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,"BWGTLB, BWGTOZ",None,birth weight,"Not on public use file. This is a new recode for 2011.  It combines two variables, BWGTLB and BWGTOZ to calculate a variable of total birth weight in ounces.  It will be made available for 2004-2010 in an additional birthweight mini-file.",,,,,,,,
2017,Sample Child,CHS,Total birth weight in ounces,016-255,16-255 ounces,,,,,,,,,,,,,,,,,,,,,
2017,Sample Child,CHS,Total birth weight in ounces,997,Refused,,,,,,,,,,,,,,,,,,,,,
